Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Afghanistan,AFG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,..,..,..,-0.207767343795396,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,0.652556836605072,..,0.709655046463013,0.617331266403198,..,..,0.51286256313324,..,..,..,0.486276715993881,..,..,..,..,..,..
Albania,ALB,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,-0.156815609495087,..,..,-0.16551346882094,..,..,-0.00422532804757225,..,..,..,0.0107536095111005,..,..,..,..,..,..
Angola,AGO,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.323991715908051,0.340981155633926,0.365018993616104,0.360462218523026,0.342708319425583,0.323658168315887,0.322388231754303,0.320939660072327,0.304851680994034,0.300449371337891,0.289205551147461,0.297055423259735,0.324967801570892,0.32515287399292,0.3177430331707,..,..,0.345235496759415,..
Argentina,ARG,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,0.0296469059947633,0.0298907801295765,-0.112363029282126,0.050507470937907,0.148906995637057,0.195522530415954,0.197672911717645,0.187527613207743,0.222143102074165,0.220858875383615,0.163259593199117,0.189995374870117,0.19625356519934,0.184663598566262,0.221768897892145,..,..,0.265663502889967,..
Austria,AUT,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.29693278670311,0.295339524745941,0.266335040330887,0.287181854248047,0.243393898010254,0.245954215526581,0.257370829582214,0.255719602108002,0.267116785049438,0.252492189407349,0.275121122598648,0.277645528316498,0.273668766021729,0.269453138113022,0.274246662855148
Austria,AUT,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,0.054026098180642,0.0891699174555731,0.137883124662217,0.130354645356325,0.166383990980522,0.116098846245589,0.16463706794858,0.0813761807132494,0.0746248352342231,0.0494928917541229,-0.00305886256949506,0.0648897787606508,0.0790609560346485,0.058359672457617,0.076476701388956
Bangladesh,BGD,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,0.362534910440445,..,..,..,..,0.330727398395538,..,..,0.339852392673492,..,0.259464472532272,..,..,..
Bangladesh,BGD,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Belgium,BEL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,0.46534526348114,0.48859491944313,0.478521972894669,0.464041024446487,0.385530084371567,0.388003319501877,0.373667865991592,0.3742436170578,0.374771982431412,0.386700719594955,0.390213578939438,0.389856845140457,0.398704200983047,0.401033401489258,0.39312407374382
Belgium,BEL,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,0.00352399800211356,0.0139976034457034,0.000140650876908399,-0.0193805328539872,-0.0731326351618037,-0.0884149956236127,-0.0490684156996659,-0.0466369134898913,-0.0123180578687522,0.00306587954089532,-0.0551876359112294,-0.06450812921116,-0.0679570635256392,-0.0566263151073552,-0.0482628121245153
Benin,BEN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,0.48894140124321,..,..,..,0.464760005474091,..,..,..
Benin,BEN,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,..,..,..,..,..,..,..,0.332718611937356,..,..,..,..,..,..,..
Bhutan,BTN,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bolivia,BOL,Public sector employment as a share of formal employment,BI.EMP.FRML.PB.ZS,0.459267526865005,0.45501434803009,0.460697948932648,0.464199632406235,..,0.44094118475914,0.444416075944901,0.419784754514694,0.437140226364136,0.434115678071976,..,0.443784356117249,0.44076070189476,..,0.460092157125473,..,..,..,..
Bolivia,BOL,Public sector wage premium (compared to all private employees),BI.WAG.PREM.PB.GP,-0.154753380169092,0.00778375285189736,0.0132664253714359,0.111906256273276,..,0.042861381649,0.107525266109936,0.0421312879018108,0.206244898508511,0.127507685260195,..,0.0917745331493511,0.160045427846817,..,0.222293063540973,..,..,..,..
